City;Description;State
CT1;AGAWAM;8050225
CT2;AGOURA HILLS;8050406
CT3;AKRON;8050139
CT4;ALAMEDA;8050406
CT5;ALAMO;8050347
CT6;ALBANY;8050313
CT7;ALBUQUERQUE;8050435
CT8;ALEXANDRIA;8050351
CT9;ALLENTOWN;8050242
CT10;ALSIP;8050117
CT11;AMITE;8050322
CT12;AMITY;8050105
CT13;ANAHEIM;8050406
CT14;ANCHORAGE;8050402
CT15;ANDOVER;8050225
CT16;ANN ARBOR;8050126
CT17;ARABI;8050322
CT18;ARCADIA;8050322
CT19;ARKADELPHIA;8050105
CT20;ARLINGTON;8050225
CT21;ARLINGTON HEIGHTS;8050117
CT22;ARNOLD;8050129
CT23;ARVADA;8050408
CT24;ASHBY;8050225
CT25;ASHLAND;8050351
CT26;ATLANTA;8050313
CT27;ATMORE;8050301
CT28;ATOKA;8050440
CT29;AUBURN;8050223
CT30;AUBURN;8050225
CT31;AUGUSTA;8050313
CT32;AUSTIN;8050448
CT33;BAINBRIDGE;8050313
CT34;BAKER CITY;8050441
CT35;BAKERSFIELD;8050406
CT36;BALTIMORE;8050224
CT37;BARGERSVILLE;8050118
CT38;BARRE;8050250
CT39;BATESVILLE;8050105
CT40;BATON ROUGE;8050322
CT41;BAUXITE;8050105
CT42;BEARDEN;8050105
CT43;BEAUMONT;8050448
CT44;BEAVERTON;8050441
CT45;BEDFORD;8050233
CT46;BEEBE;8050105
CT47;BELGRADE;8050223
CT48;BELLE CHASSE;8050322
CT49;BELLINGHAM;8050453
CT50;BEND;8050441
CT51;BENSENVILLE;8050117
CT52;BERLIN;8050209
CT53;BIDDEFORD;8050223
CT54;BILLINGS;8050430
CT55;BIRMINGHAM;8050301
CT56;BLACKSTONE;8050225
CT57;BLOOMFIELD;8050209
CT58;BLOOMINGTON;8050117
CT59;BLYTHEVILLE;8050105
CT60;BOGALUSA;8050322
CT61;BOISE;8050416
CT62;BOLTON;8050225
CT63;BOLTON;8050328
CT64;BOSTON;8050225
CT65;BOTHELL;8050453
CT66;BOURBONNAIS;8050117
CT67;BRADFORD;8050105
CT68;BRATTLEBORO;8050250
CT69;BRIDGEPORT;8050209
CT70;BRIGHTON;8050126
CT71;BRISTOL;8050209
CT72;BRISTOL;8050351
CT73;BROCKTON;8050225
CT74;BROKEN ARROW;8050440
CT75;BROOKHAVEN;8050328
CT76;BRYAN;8050448
CT77;BUELLTON;8050406
CT78;BUENA PARK;8050406
CT79;BURAS;8050322
CT80;BURLINGTON;8050119
CT81;BURLINGTON;8050155
CT82;CABOT;8050105
CT83;CAMBRIDGE;8050225
CT84;CAMDEN;8050105
CT85;CAMPBELL;8050406
CT86;CAPITOL HEIGHTS;8050224
CT87;CARLISLE;8050105
CT88;CARMEL;8050118
CT89;CAROL STREAM;8050117
CT90;CARROLLTON;8050313
CT91;CARTHAGE;8050328
CT92;CARY;8050117
CT93;CENTRAL CITY;8050321
CT94;CENTRAL CITY;8050131
CT95;CENTREVILLE;8050328
CT96;CHAMPAIGN;8050117
CT97;CHANDLER;8050404
CT98;CHANTILLY;8050351
CT99;CHARLESTON;8050328
CT100;CHARLESTON;8050354
CT101;CHARLOTTE;8050337
CT102;CHATSWORTH;8050406
CT103;CHATTANOOGA;8050347
CT104;CHERRY HILL;8050234
CT105;CHESTERFIELD;8050126
CT106;CHICAGO;8050117
CT107;CHICOPEE;8050225
CT108;CHIDESTER;8050105
CT109;CLEVELAND;8050328
CT110;CLEVELAND;8050448
CT111;CLINTON;8050225
CT112;CLINTON;8050328
CT113;CLINTON TOWNSHIP;8050126
CT114;CLOVERDALE;8050406
CT115;COCOA;8050312
CT116;COLORADO SPRINGS;8050408
CT117;COLUMBIA;8050129
CT118;COLUMBUS;8050139
CT119;CONCORD;8050406
CT120;CONROE;8050448
CT121;CONVENT;8050322
CT122;CORAL SPRINGS;8050312
CT123;CORINNA;8050223
CT124;CORNING;8050105
CT125;COUNCIL BLUFFS;8050119
CT126;COVINA;8050406
CT127;CRETE;8050131
CT128;CROSSETT;8050105
CT129;CRYSTAL SPRINGS;8050328
CT130;CUPERTINO;8050406
CT131;DALLAS;8050448
CT132;DALTON;8050313
CT133;DANIA;8050312
CT134;DANVILLE;8050105
CT135;DARDANELLE;8050105
CT136;DAWSON SPRINGS;8050321
CT137;DAYTON;8050448
CT138;DAYTONA BEACH;8050312
CT139;DE VALLS BLUFF;8050105
CT140;DE WITT;8050105
CT141;DECATUR;8050301
CT142;DECATUR;8050313
CT143;DELL;8050105
CT144;DELTA;8050408
CT145;DENVER;8050408
CT146;DES MOINES;8050119
CT147;DETROIT;8050126
CT148;DIXON;8050117
CT149;DOWAGIAC;8050126
CT150;DOWNERS GROVE;8050117
CT151;DULUTH;8050127
CT152;EAGLE RIVER;8050155
CT153;EAST BRUNSWICK;8050234
CT154;EAST HARTFORD;8050209
CT155;EAST LONGMEADOW;8050225
CT156;EAST LYME;8050209
CT157;EAST PROVIDENCE;8050244
CT158;EATONTOWN;8050234
CT159;EAU CLAIRE;8050155
CT160;EDDINGTON;8050223
CT161;EDENTON;8050337
CT162;EDGARD;8050322
CT163;EDISON;8050234
CT164;EL CAJON;8050406
CT165;EL DORADO;8050105
CT166;EL PASO;8050448
CT167;EL SEGUNDO;8050406
CT168;ELGIN;8050345
CT169;ELKHART;8050118
CT170;ELKINS;8050354
CT171;ELTON;8050322
CT172;EMERSON;8050105
CT173;ENCINO;8050406
CT174;ENFIELD;8050209
CT175;ENGLAND;8050105
CT176;ENGLEWOOD;8050408
CT177;EUGENE;8050441
CT178;EUREKA;8050406
CT179;EUSTIS;8050312
CT180;EVANSVILLE;8050118
CT181;FAIRFAX;8050351
CT182;FARGO;8050138
CT183;FENTON;8050129
CT184;FLINT;8050126
CT185;FLORA;8050328
CT186;FLORENCE;8050328
CT187;FONDA;8050119
CT188;FOREST PARK;8050313
CT189;FORREST CITY;8050105
CT190;FORT COLLINS;8050408
CT191;FORT DODGE;8050119
CT192;FORT LAUDERDALE;8050312
CT193;FORT MYERS;8050312
CT194;FORT SMITH;8050105
CT195;FRAMINGHAM;8050225
CT196;FRANKLIN;8050448
CT197;FRANKLIN PARK;8050117
CT198;FRASER;8050126
CT199;FREDERICKSBURG;8050351
CT200;FREMONT;8050406
CT201;FREMONT;8050131
CT202;FRONT ROYAL;8050351
CT203;FULLERTON;8050406
CT204;GAINESVILLE;8050313
CT205;GAITHERSBURG;8050224
CT206;GARDNER;8050225
CT207;GEISMAR;8050322
CT208;GEORGETOWN;8050210
CT209;GEORGETOWN;8050345
CT210;GERING;8050131
CT211;GEYSERVILLE;8050406
CT212;GILLETTE;8050456
CT213;GLEN BURNIE;8050224
CT214;GLEN ROCK;8050234
CT215;GOLDEN MEADOW;8050322
CT216;GOLETA;8050406
CT217;GONZALES;8050322
CT218;GRAMERCY;8050322
CT219;GRAND RAPIDS;8050126
CT220;GREAT BEND;8050120
CT221;GREEN BAY;8050155
CT222;GREENEVILLE;8050347
CT223;GREENFIELD;8050225
CT224;GREENVILLE;8050328
CT225;GREENVILLE;8050345
CT226;GRENADA;8050328
CT227;GRIMES;8050119
CT228;GROVES;8050448
CT229;GROVETOWN;8050313
CT230;GUAYNABO;8050303
CT231;GULFPORT;8050328
CT232;GUTHRIE CENTER;8050119
CT233;HAMMOND;8050118
CT234;HAPPY CAMP;8050406
CT235;HARDY;8050105
CT236;HARMONY;8050127
CT237;HARRINGTON;8050210
CT238;HARRISON;8050105
CT239;HARTFORD;8050209
CT240;HAVRE DE GRACE;8050224
CT241;HAYWARD;8050406
CT242;HAZLEHURST;8050328
CT243;HELENA;8050105
CT244;HIALEAH;8050312
CT245;HICKORY;8050337
CT246;HIGHTSTOWN;8050234
CT247;HOLYOKE;8050225
CT248;HOMER;8050322
CT249;HOPKINS;8050127
CT250;HOPKINS PARK;8050117
CT251;HORN LAKE;8050328
CT252;HOT SPRINGS;8050105
CT253;HOUSTON;8050448
CT254;HUMACAO;8050303
CT255;HUNTINGTON;8050354
CT256;HUNTSVILLE;8050448
CT257;HUTCHINSON;8050120
CT258;HUTCHINSON;8050127
CT259;INDEPENDENCE;8050129
CT260;INDIANAPOLIS;8050118
CT261;INDIANOLA;8050328
CT262;INGLEWOOD;8050406
CT263;IRVINE;8050406
CT264;IRVING;8050448
CT265;IRWINDALE;8050406
CT266;ITASCA;8050117
CT267;JACKSON;8050328
CT268;JACKSON;8050347
CT269;JACKSONVILLE;8050105
CT270;JACKSONVILLE;8050312
CT271;JANESVILLE;8050155
CT272;JASPER;8050301
CT273;JEFFERSON;8050119
CT274;JENNINGS;8050322
CT275;JESSUP;8050224
CT276;JOINER;8050105
CT277;JONESBORO;8050105
CT278;JUDSONIA;8050105
CT279;KALAMAZOO;8050126
CT280;KANSAS CITY;8050129
CT281;KENNEDYVILLE;8050224
CT282;KENNER;8050322
CT283;KENSINGTON;8050224
CT284;KENT;8050453
CT285;KENTWOOD;8050322
CT286;KERNVILLE;8050406
CT287;KEWANEE;8050117
CT288;KEYPORT;8050234
CT289;KINGSLAND;8050105
CT290;KINGSTON;8050233
CT291;KIRKLAND;8050453
CT292;KLAMATH FALLS;8050441
CT293;KNOXVILLE;8050347
CT294;KOUNTZE;8050448
CT295;LA CANADA;8050406
CT296;LA CROSSE;8050155
CT297;LA PLACE;8050322
CT298;LA PUENTE;8050406
CT299;LA VERKIN;8050449
CT300;LAKE CHARLES;8050322
CT301;LAKE HOPATCONG;8050234
CT302;LAKE ZURICH;8050117
CT303;LANSING;8050126
CT304;LAREDO;8050448
CT305;LAS VEGAS;8050432
CT306;LAUREL;8050210
CT307;LAUREL;8050224
CT308;LAVINIA;8050347
CT309;LEESVILLE;8050322
CT310;LELAND;8050337
CT311;LENOIR;8050337
CT312;LEOMINSTER;8050225
CT313;LEWISTON;8050416
CT314;LEWISVILLE;8050105
CT315;LIBERTY;8050337
CT316;LINCOLN;8050131
CT317;LITTLE FERRY;8050234
CT318;LITTLE ROCK;8050105
CT319;LITTLETON;8050408
CT320;LITTLETON;8050225
CT321;LIVONIA;8050126
CT322;LOMBARD;8050117
CT323;LONG BEACH;8050406
CT324;LOS ANGELES;8050406
CT325;LOUDON;8050347
CT326;LOUISVILLE;8050321
CT327;LOVES PARK;8050117
CT328;LUMBERTON;8050337
CT329;LUMBERTON;8050448
CT330;LYNCHBURG;8050351
CT331;LYNNWOOD;8050453
CT332;LYONS;8050117
CT333;MABELVALE;8050105
CT334;MADISON;8050155
CT335;MAITLAND;8050312
CT336;MALVERN;8050105
CT337;MAMMOTH SPRING;8050105
CT338;MANCHESTER;8050233
CT339;MANGHAM;8050322
CT340;MANILA;8050105
CT341;MARIETTA;8050313
CT342;MARKED TREE;8050105
CT343;MARKS;8050328
CT344;MARLBOROUGH;8050225
CT345;MARLBOROUGH;8050233
CT346;MARLETTE;8050126
CT347;MARRERO;8050322
CT348;MARSHALL;8050105
CT349;MAYNARD;8050225
CT350;MCCOMB;8050328
CT351;MEADOW;8050449
CT352;MELBOURNE;8050105
CT353;MELROSE PARK;8050117
CT354;MELVINDALE;8050126
CT355;MEMPHIS;8050347
CT356;MENDENHALL;8050328
CT357;MENOMINEE;8050126
CT358;MERIDIAN;8050416
CT359;MESA;8050404
CT360;METAIRIE;8050322
CT361;METHUEN;8050225
CT362;MIAMI;8050312
CT363;MIDDLEBURY;8050250
CT364;MILWAUKEE;8050155
CT365;MILWAUKIE;8050441
CT366;MINNEAPOLIS;8050127
CT367;MISHAWAKA;8050118
CT368;MISSION VIEJO;8050406
CT369;MISSOULA;8050430
CT370;MOBILE;8050301
CT371;MOLINE;8050117
CT372;MONROE;8050322
CT373;MONTCLAIR;8050406
CT374;MONTGOMERY;8050301
CT375;MONTGOMERY;8050448
CT376;MONTICELLO;8050105
CT377;MOORHEAD;8050328
CT378;MORRILTON;8050105
CT379;MORRIS PLAINS;8050234
CT380;MORRISVILLE;8050250
CT381;MORTON;8050117
CT382;MORTON;8050328
CT383;MOUNT HOLLY;8050234
CT384;MOUNTAIN HOME;8050105
CT385;MOUNTAIN VIEW;8050105
CT386;NAMPA;8050416
CT387;NAPA;8050406
CT388;NAPOLEONVILLE;8050322
CT389;NASHUA;8050233
CT390;NASHVILLE;8050347
CT391;NATCHEZ;8050328
CT392;NAVASOTA;8050448
CT393;NESBIT;8050328
CT394;NEW BEDFORD;8050225
CT395;NEW BERLIN;8050155
CT396;NEW BRITAIN;8050209
CT397;NEW GLARUS;8050155
CT398;NEW MILFORD;8050209
CT399;NEW ORLEANS;8050322
CT400;NEW WAVERLY;8050448
CT401;NEW YORK;8050236
CT402;NEWARK;8050234
CT403;NEWINGTON;8050209
CT404;NEWPORT;8050105
CT405;NEWPORT NEWS;8050351
CT406;NILES;8050117
CT407;NORCROSS;8050313
CT408;NORMAN;8050440
CT409;NORTH GRAFTON;8050225
CT410;NORTH HAVEN;8050209
CT411;NORTH LITTLE ROCK;8050105
CT412;NORTH MYRTLE BEACH;8050345
CT413;NORTH PLATTE;8050131
CT414;NORTHAMPTON;8050225
CT415;NORWALK;8050209
CT416;NORWAY;8050223
CT417;NORWICH;8050209
CT418;NOVATO;8050406
CT419;OAK GROVE;8050129
CT420;OAK LAWN;8050117
CT421;OAKLAND;8050406
CT422;OCOEE;8050312
CT423;ODESSA;8050448
CT424;OKAWVILLE;8050117
CT425;OKLAHOMA CITY;8050440
CT426;OLIVE BRANCH;8050328
CT427;OLYMPIA;8050453
CT428;OMAHA;8050131
CT429;ONALASKA;8050155
CT430;OPELOUSAS;8050322
CT431;ORANGE;8050448
CT432;ORANGEFIELD;8050448
CT433;OTHELLO;8050453
CT434;OXNARD;8050406
CT435;PACOIMA;8050406
CT436;PALISADES PARK;8050234
CT437;PALMETTO;8050312
CT438;PANGBURN;8050105
CT439;PARAMUS;8050234
CT440;PARIS;8050105
CT441;PARKER;8050408
CT442;PARSONS;8050354
CT443;PASADENA;8050448
CT444;PASO ROBLES;8050406
CT445;PATERSON;8050234
CT446;PAW PAW;8050126
CT447;PAWTUCKET;8050244
CT448;PEABODY;8050225
CT449;PEARL;8050328
CT450;PEKIN;8050117
CT451;PEMBROKE;8050225
CT452;PENNSAUKEN;8050234
CT453;PEORIA;8050404
CT454;PEORIA;8050117
CT455;PETOSKEY;8050126
CT456;PHILADELPHIA;8050242
CT457;PHILIPSBURG;8050430
CT458;PHILLIPSBURG;8050234
CT459;PHOENIX;8050404
CT460;PIEDMONT;8050345
CT461;PINE BLUFF;8050105
CT462;PITTSBURGH;8050242
CT463;PLAINSBORO;8050234
CT464;PLAINVILLE;8050209
CT465;PLANT CITY;8050312
CT466;PLEASANT VALLEY;8050209
CT467;PLYMOUTH;8050155
CT468;POMONA;8050406
CT469;PORT ALLEN;8050322
CT470;PORT ANGELES;8050453
CT471;PORT ARTHUR;8050448
CT472;PORT CHARLOTTE;8050312
CT473;PORTLAND;8050118
CT474;PORTLAND;8050441
CT475;PORTSMOUTH;8050351
CT476;POST FALLS;8050416
CT477;PROVIDENCE;8050244
CT478;PUNTA GORDA;8050312
CT479;PUTNAM;8050209
CT480;QUINCY;8050117
CT481;QUINCY;8050225
CT482;RACELAND;8050322
CT483;RALEIGH;8050337
CT484;RANCHO CUCAMONGA;8050406
CT485;RAPID CITY;8050146
CT486;RAWLINS;8050456
CT487;RAYMOND;8050233
CT488;RAYVILLE;8050322
CT489;RECTOR;8050105
CT490;REDDING;8050406
CT491;RENTON;8050453
CT492;RICHMOND;8050351
CT493;RICHTON PARK;8050117
CT494;RIDGELAND;8050328
CT495;RIVERSIDE;8050406
CT496;RIVERSIDE;8050234
CT497;ROANOKE;8050118
CT498;ROCK SPRINGS;8050456
CT499;ROCKLAND;8050223
CT500;ROCKPORT;8050223
CT501;ROGERS;8050105
CT502;ROSELLE;8050117
CT503;ROSEVILLE;8050126
CT504;ROYAL OAK;8050126
CT505;RUPERT;8050416
CT506;RUSSELLVILLE;8050105
CT507;SABETHA;8050120
CT508;SACRAMENTO;8050406
CT509;SAGINAW;8050126
CT510;SAINT JOSEPH;8050129
CT511;SAINT LOUIS;8050129
CT512;SAINT PAUL;8050127
CT513;SAINT ROSE;8050322
CT514;SALEM;8050441
CT515;SALINA;8050120
CT516;SALINAS;8050406
CT517;SALTVILLE;8050351
CT518;SAN DIEGO;8050406
CT519;SAN FERNANDO;8050406
CT520;SAN FRANCISCO;8050406
CT521;SAN JACINTO;8050406
CT522;SAN JOSE;8050406
CT523;SAN JUAN;8050303
CT524;SAN RAFAEL;8050406
CT525;SANDY;8050449
CT526;SANFORD;8050223
CT527;SANTA ANA;8050406
CT528;SANTA BARBARA;8050406
CT529;SANTA CLARA;8050406
CT530;SANTA FE SPRINGS;8050406
CT531;SAVANNAH;8050313
CT532;SCARBOROUGH;8050223
CT533;SCHAUMBURG;8050117
CT534;SCOTT;8050322
CT535;SCOTTS VALLEY;8050406
CT536;SEARCY;8050105
CT537;SEATTLE;8050453
CT538;SENATOBIA;8050328
CT539;SEYMOUR;8050209
CT540;SHAWNEE MISSION;8050120
CT541;SIBLEY;8050322
CT542;SILSBEE;8050448
CT543;SILVER SPRING;8050224
CT544;SIMPSONVILLE;8050345
CT545;SISTERSVILLE;8050354
CT546;SOMERVILLE;8050448
CT547;SOUTH HADLEY;8050225
CT548;SOUTH SAN FRANCISCO;8050406
CT549;SOUTHAVEN;8050328
CT550;SOUTHBRIDGE;8050225
CT551;SOUTHFIELD;8050126
CT552;SOUTHINGTON;8050209
CT553;SPARKS;8050432
CT554;SPARTANBURG;8050345
CT555;SPENCER;8050225
CT556;SPLENDORA;8050448
CT557;SPOKANE;8050453
CT558;SPRING;8050448
CT559;SPRINGFIELD;8050117
CT560;STANTON;8050406
CT561;STATESVILLE;8050337
CT562;STERLING HEIGHTS;8050126
CT563;STILLWATER;8050440
CT564;STOCKTON;8050406
CT565;STOUGHTON;8050155
CT566;STRATFORD;8050209
CT567;STUTTGART;8050105
CT568;SUDLERSVILLE;8050224
CT569;SUNNYVALE;8050406
CT570;SUWANEE;8050313
CT571;SYRACUSE;8050236
CT572;TALLAHASSEE;8050312
CT573;TAMPA;8050312
CT574;TAYLORSVILLE;8050337
CT575;TEMPE;8050404
CT576;TEMPLETON;8050225
CT577;THE WOODLANDS;8050448
CT578;THOMASTON;8050313
CT579;THORNDIKE;8050225
CT580;TORRINGTON;8050209
CT581;TRAPPE;8050224
CT582;TRAVERSE CITY;8050126
CT583;TRENTON;8050234
CT584;TUCSON;8050404
CT585;TULSA;8050440
CT586;TUNICA;8050328
CT587;TWIN FALLS;8050416
CT588;TYLERTOWN;8050328
CT589;VAIDEN;8050328
CT590;VANSANT;8050351
CT591;VICKSBURG;8050328
CT592;VIENNA;8050351
CT593;W HARTFORD;8050209
CT594;WAKEFIELD;8050225
CT595;WALLS;8050328
CT596;WALTHAM;8050225
CT597;WAREHAM;8050225
CT598;WARREN;8050105
CT599;WARREN;8050223
CT600;WARREN;8050126
CT601;WARTBURG;8050347
CT602;WARWICK;8050244
CT603;WASHINGTON;8050117
CT604;WATERFORD;8050209
CT605;WAUKEE;8050119
CT606;WAUKESHA;8050155
CT607;WEBSTER CITY;8050119
CT608;WEIRTON;8050354
CT609;WEST BOYLSTON;8050225
CT610;WEST COLUMBIA;8050345
CT611;WEST HELENA;8050105
CT612;WEST MONROE;8050322
CT613;WEST SACRAMENTO;8050406
CT614;WESTFORD;8050225
CT615;WESTPORT;8050225
CT616;WEYMOUTH;8050225
CT617;WHARTON;8050234
CT618;WHEAT RIDGE;8050408
CT619;WHITEWATER;8050155
CT620;WICHITA;8050120
CT621;WILLIAMSBURG;8050351
CT622;WILLISTON;8050138
CT623;WILSONVILLE;8050441
CT624;WINDSOR;8050209
CT625;WINNIE;8050448
CT626;WINSLOW;8050223
CT627;WINSTED;8050209
CT628;WINTER PARK;8050312
CT629;WISCONSIN RAPIDS;8050155
CT630;WOBURN;8050225
CT631;WOOD DALE;8050117
CT632;WORCESTER;8050225
CT633;WYNNE;8050105
CT634;YAKIMA;8050453
CT635;YAZOO CITY;8050328
CT636;YONKERS;8050236
CT637;YUMA;8050404
